country_code,date,holiday_name
AU,1801-01-01,New Year's Day
CH,1801-01-01,New Year's Day
NL,1801-01-01,New Year's Day
PT,1801-01-01,New Year's Day
VE,1801-01-01,New Year's Day
VE,1801-02-16,Monday of Carnival
VE,1801-02-17,Tuesday of Carnival
VE,1801-04-02,Maundy Thursday
AU,1801-04-03,Good Friday
PT,1801-04-03,Good Friday
VE,1801-04-03,Good Friday
NL,1801-04-05,Easter Sunday
PT,1801-04-05,Easter Sunday
AU,1801-04-06,Easter Monday
NL,1801-04-06,Easter Monday
CH,1801-05-14,Ascension Day
NL,1801-05-14,Ascension Day
NL,1801-05-24,Whit Sunday
NL,1801-05-25,Whit Monday
PT,1801-06-04,Corpus Christi
CH,1801-08-01,National Day
PT,1801-08-15,Assumption Day
PT,1801-11-01,All Saints' Day
PT,1801-12-08,Immaculate Conception
VE,1801-12-24,Christmas Eve
AU,1801-12-25,Christmas Day
CH,1801-12-25,Christmas Day
NL,1801-12-25,Christmas Day
PT,1801-12-25,Christmas Day
VE,1801-12-25,Christmas Day
AU,1801-12-26,Boxing Day
NL,1801-12-26,Second Day of Christmas
VE,1801-12-31,New Year's Eve
AU,1802-01-01,New Year's Day
CH,1802-01-01,New Year's Day
NL,1802-01-01,New Year's Day
PT,1802-01-01,New Year's Day
VE,1802-01-01,New Year's Day
VE,1802-03-01,Monday of Carnival
VE,1802-03-02,Tuesday of Carnival
VE,1802-04-15,Maundy Thursday
AU,1802-04-16,Good Friday
PT,1802-04-16,Good Friday
VE,1802-04-16,Good Friday
NL,1802-04-18,Easter Sunday
PT,1802-04-18,Easter Sunday
AU,1802-04-19,Easter Monday
NL,1802-04-19,Easter Monday
CH,1802-05-27,Ascension Day
FR,1802-05-27,Ascension Day
NL,1802-05-27,Ascension Day
NL,1802-06-06,Whit Sunday
NL,1802-06-07,Whit Monday
PT,1802-06-17,Corpus Christi
CH,1802-08-01,National Day
FR,1802-08-15,Assumption Day
PT,1802-08-15,Assumption Day
FR,1802-11-01,All Saints' Day
PT,1802-11-01,All Saints' Day
PT,1802-12-08,Immaculate Conception
VE,1802-12-24,Christmas Eve
AU,1802-12-25,Christmas Day
CH,1802-12-25,Christmas Day
FR,1802-12-25,Christmas Day
NL,1802-12-25,Christmas Day
PT,1802-12-25,Christmas Day
VE,1802-12-25,Christmas Day
AU,1802-12-26,Boxing Day
NL,1802-12-26,Second Day of Christmas
VE,1802-12-31,New Year's Eve
AU,1803-01-01,New Year's Day
CH,1803-01-01,New Year's Day
NL,1803-01-01,New Year's Day
PT,1803-01-01,New Year's Day
VE,1803-01-01,New Year's Day
VE,1803-02-21,Monday of Carnival
VE,1803-02-22,Tuesday of Carnival
VE,1803-04-07,Maundy Thursday
AU,1803-04-08,Good Friday
PT,1803-04-08,Good Friday
VE,1803-04-08,Good Friday
NL,1803-04-10,Easter Sunday
PT,1803-04-10,Easter Sunday
AU,1803-04-11,Easter Monday
NL,1803-04-11,Easter Monday
CH,1803-05-19,Ascension Day
FR,1803-05-19,Ascension Day
NL,1803-05-19,Ascension Day
NL,1803-05-29,Whit Sunday
NL,1803-05-30,Whit Monday
PT,1803-06-09,Corpus Christi
CH,1803-08-01,National Day
FR,1803-08-15,Assumption Day
PT,1803-08-15,Assumption Day
FR,1803-11-01,All Saints' Day
PT,1803-11-01,All Saints' Day
PT,1803-12-08,Immaculate Conception
VE,1803-12-24,Christmas Eve
AU,1803-12-25,Christmas Day
CH,1803-12-25,Christmas Day
FR,1803-12-25,Christmas Day
NL,1803-12-25,Christmas Day
PT,1803-12-25,Christmas Day
VE,1803-12-25,Christmas Day
AU,1803-12-26,Boxing Day
NL,1803-12-26,Second Day of Christmas
VE,1803-12-31,New Year's Eve
AU,1804-01-01,New Year's Day
CH,1804-01-01,New Year's Day
NL,1804-01-01,New Year's Day
PT,1804-01-01,New Year's Day
VE,1804-01-01,New Year's Day
VE,1804-02-13,Monday of Carnival
VE,1804-02-14,Tuesday of Carnival
VE,1804-03-29,Maundy Thursday
AU,1804-03-30,Good Friday
PT,1804-03-30,Good Friday
VE,1804-03-30,Good Friday
NL,1804-04-01,Easter Sunday
PT,1804-04-01,Easter Sunday
AU,1804-04-02,Easter Monday
NL,1804-04-02,Easter Monday
CH,1804-05-10,Ascension Day
FR,1804-05-10,Ascension Day
NL,1804-05-10,Ascension Day
NL,1804-05-20,Whit Sunday
NL,1804-05-21,Whit Monday
PT,1804-05-31,Corpus Christi
CH,1804-08-01,National Day
FR,1804-08-15,Assumption Day
PT,1804-08-15,Assumption Day
FR,1804-11-01,All Saints' Day
PT,1804-11-01,All Saints' Day
PT,1804-12-08,Immaculate Conception
VE,1804-12-24,Christmas Eve
AU,1804-12-25,Christmas Day
CH,1804-12-25,Christmas Day
FR,1804-12-25,Christmas Day
NL,1804-12-25,Christmas Day
PT,1804-12-25,Christmas Day
VE,1804-12-25,Christmas Day
AU,1804-12-26,Boxing Day
NL,1804-12-26,Second Day of Christmas
VE,1804-12-31,New Year's Eve
AU,1805-01-01,New Year's Day
CH,1805-01-01,New Year's Day
NL,1805-01-01,New Year's Day
PT,1805-01-01,New Year's Day
VE,1805-01-01,New Year's Day
VE,1805-02-25,Monday of Carnival
VE,1805-02-26,Tuesday of Carnival
VE,1805-04-11,Maundy Thursday
AU,1805-04-12,Good Friday
PT,1805-04-12,Good Friday
VE,1805-04-12,Good Friday
NL,1805-04-14,Easter Sunday
PT,1805-04-14,Easter Sunday
AU,1805-04-15,Easter Monday
NL,1805-04-15,Easter Monday
CH,1805-05-23,Ascension Day
FR,1805-05-23,Ascension Day
NL,1805-05-23,Ascension Day
NL,1805-06-02,Whit Sunday
NL,1805-06-03,Whit Monday
PT,1805-06-13,Corpus Christi
CH,1805-08-01,National Day
FR,1805-08-15,Assumption Day
PT,1805-08-15,Assumption Day
FR,1805-11-01,All Saints' Day
PT,1805-11-01,All Saints' Day
PT,1805-12-08,Immaculate Conception
VE,1805-12-24,Christmas Eve
AU,1805-12-25,Christmas Day
CH,1805-12-25,Christmas Day
FR,1805-12-25,Christmas Day
NL,1805-12-25,Christmas Day
PT,1805-12-25,Christmas Day
VE,1805-12-25,Christmas Day
AU,1805-12-26,Boxing Day
NL,1805-12-26,Second Day of Christmas
VE,1805-12-31,New Year's Eve
AU,1806-01-01,New Year's Day
CH,1806-01-01,New Year's Day
NL,1806-01-01,New Year's Day
PT,1806-01-01,New Year's Day
VE,1806-01-01,New Year's Day
VE,1806-02-17,Monday of Carnival
VE,1806-02-18,Tuesday of Carnival
VE,1806-04-03,Maundy Thursday
AU,1806-04-04,Good Friday
PT,1806-04-04,Good Friday
VE,1806-04-04,Good Friday
NL,1806-04-06,Easter Sunday
PT,1806-04-06,Easter Sunday
AU,1806-04-07,Easter Monday
NL,1806-04-07,Easter Monday
CH,1806-05-15,Ascension Day
FR,1806-05-15,Ascension Day
NL,1806-05-15,Ascension Day
NL,1806-05-25,Whit Sunday
NL,1806-05-26,Whit Monday
PT,1806-06-05,Corpus Christi
CH,1806-08-01,National Day
FR,1806-08-15,Assumption Day
PT,1806-08-15,Assumption Day
FR,1806-11-01,All Saints' Day
PT,1806-11-01,All Saints' Day
PT,1806-12-08,Immaculate Conception
VE,1806-12-24,Christmas Eve
AU,1806-12-25,Christmas Day
CH,1806-12-25,Christmas Day
FR,1806-12-25,Christmas Day
NL,1806-12-25,Christmas Day
PT,1806-12-25,Christmas Day
VE,1806-12-25,Christmas Day
AU,1806-12-26,Boxing Day
NL,1806-12-26,Second Day of Christmas
VE,1806-12-31,New Year's Eve
AU,1807-01-01,New Year's Day
CH,1807-01-01,New Year's Day
NL,1807-01-01,New Year's Day
PT,1807-01-01,New Year's Day
VE,1807-01-01,New Year's Day
VE,1807-02-09,Monday of Carnival
VE,1807-02-10,Tuesday of Carnival
VE,1807-03-26,Maundy Thursday
AU,1807-03-27,Good Friday
PT,1807-03-27,Good Friday
VE,1807-03-27,Good Friday
NL,1807-03-29,Easter Sunday
PT,1807-03-29,Easter Sunday
AU,1807-03-30,Easter Monday
NL,1807-03-30,Easter Monday
CH,1807-05-07,Ascension Day
FR,1807-05-07,Ascension Day
NL,1807-05-07,Ascension Day
NL,1807-05-17,Whit Sunday
NL,1807-05-18,Whit Monday
PT,1807-05-28,Corpus Christi
CH,1807-08-01,National Day
FR,1807-08-15,Assumption Day
PT,1807-08-15,Assumption Day
FR,1807-11-01,All Saints' Day
PT,1807-11-01,All Saints' Day
PT,1807-12-08,Immaculate Conception
VE,1807-12-24,Christmas Eve
AU,1807-12-25,Christmas Day
CH,1807-12-25,Christmas Day
FR,1807-12-25,Christmas Day
NL,1807-12-25,Christmas Day
PT,1807-12-25,Christmas Day
VE,1807-12-25,Christmas Day
AU,1807-12-26,Boxing Day
NL,1807-12-26,Second Day of Christmas
VE,1807-12-31,New Year's Eve
AU,1808-01-01,New Year's Day
CH,1808-01-01,New Year's Day
NL,1808-01-01,New Year's Day
PT,1808-01-01,New Year's Day
VE,1808-01-01,New Year's Day
VE,1808-02-29,Monday of Carnival
VE,1808-03-01,Tuesday of Carnival
VE,1808-04-14,Maundy Thursday
AU,1808-04-15,Good Friday
PT,1808-04-15,Good Friday
VE,1808-04-15,Good Friday
NL,1808-04-17,Easter Sunday
PT,1808-04-17,Easter Sunday
AU,1808-04-18,Easter Monday
NL,1808-04-18,Easter Monday
CH,1808-05-26,Ascension Day
FR,1808-05-26,Ascension Day
